Current Month Return,Prior 5 Months Return,Max Drawdown 6M,Rating,Expected Allocation This Month
50,50,-13.8,92.27,"65,000.00 €"
50,50,-13.9,92.24,"65,000.00 €"
50,50,-14.0,92.20,"65,000.00 €"
50,50,-14.1,92.17,"65,000.00 €"
50,50,-14.2,92.13,"65,000.00 €"
50,50,-14.3,92.10,"65,000.00 €"
50,50,-14.4,92.06,"65,000.00 €"
50,50,-14.5,92.03,"65,000.00 €"
50,50,-14.6,92.00,"65,000.00 €"
50,50,-14.7,91.97,"65,000.00 €"
50,50,-14.8,91.93,"65,000.00 €"
50,50,-14.9,91.90,"65,000.00 €"
50,50,-15.0,91.87,"65,000.00 €"
50,50,-15.1,91.84,"65,000.00 €"
50,50,-15.2,91.81,"65,000.00 €"
50,50,-15.3,91.78,"65,000.00 €"
50,50,-15.4,91.75,"65,000.00 €"
50,50,-15.5,91.72,"65,000.00 €"
50,50,-15.6,91.69,"65,000.00 €"
50,50,-15.7,91.66,"65,000.00 €"
50,50,-15.8,91.63,"65,000.00 €"
50,50,-15.9,91.60,"65,000.00 €"
50,50,-16.0,91.58,"65,000.00 €"
50,50,-16.1,91.55,"65,000.00 €"
50,50,-16.2,91.52,"65,000.00 €"
50,50,-16.3,91.49,"60,000.00 €"
50,50,-16.4,91.47,"60,000.00 €"
50,50,-16.5,91.44,"60,000.00 €"
50,50,-16.6,91.41,"60,000.00 €"
50,50,-16.7,91.39,"60,000.00 €"
50,50,-16.8,91.36,"60,000.00 €"
50,50,-16.9,91.34,"60,000.00 €"
50,50,-17.0,91.31,"60,000.00 €"
50,50,-17.1,91.29,"60,000.00 €"
50,50,-17.2,91.26,"60,000.00 €"
50,50,-17.3,91.24,"60,000.00 €"
50,50,-17.4,91.21,"60,000.00 €"
50,50,-17.5,91.19,"60,000.00 €"
50,50,-17.6,91.17,"60,000.00 €"
50,50,-17.7,91.14,"60,000.00 €"
50,50,-17.8,91.12,"60,000.00 €"
50,50,-17.9,91.10,"60,000.00 €"
50,50,-18.0,91.08,"60,000.00 €"
50,50,-18.1,91.05,"60,000.00 €"
50,50,-18.2,91.03,"60,000.00 €"
50,50,-18.3,91.01,"60,000.00 €"
50,50,-18.4,90.99,"60,000.00 €"
50,50,-18.5,90.97,"60,000.00 €"
50,50,-18.6,90.95,"60,000.00 €"
50,50,-18.7,90.92,"60,000.00 €"
50,50,-18.8,90.90,"60,000.00 €"
50,50,-18.9,90.88,"60,000.00 €"
50,50,-19.0,90.86,"60,000.00 €"
50,50,-19.1,90.84,"60,000.00 €"
50,50,-19.2,90.82,"60,000.00 €"
50,50,-19.3,90.80,"60,000.00 €"
50,50,-19.4,90.79,"60,000.00 €"
50,50,-19.5,90.77,"60,000.00 €"
50,50,-19.6,90.75,"60,000.00 €"
50,50,-19.7,90.73,"60,000.00 €"
50,50,-19.8,90.71,"60,000.00 €"
50,50,-19.9,90.69,"60,000.00 €"
50,50,-20.0,90.67,"55,000.00 €"
50,50,-20.1,90.66,"55,000.00 €"
50,50,-20.2,90.64,"55,000.00 €"
50,50,-20.3,90.62,"55,000.00 €"
50,50,-20.4,90.60,"55,000.00 €"
50,50,-20.5,90.59,"55,000.00 €"
50,50,-20.6,90.57,"55,000.00 €"
50,50,-20.7,90.55,"55,000.00 €"
50,50,-20.8,90.53,"55,000.00 €"
50,50,-20.9,90.52,"55,000.00 €"
50,50,-21.0,90.50,"55,000.00 €"
50,50,-21.1,90.49,"55,000.00 €"
50,50,-21.2,90.47,"55,000.00 €"
50,50,-21.3,90.45,"55,000.00 €"
50,50,-21.4,90.44,"55,000.00 €"
50,50,-21.5,90.42,"55,000.00 €"
50,50,-21.6,90.41,"55,000.00 €"
50,50,-21.7,90.39,"55,000.00 €"
50,50,-21.8,90.38,"55,000.00 €"
50,50,-21.9,90.36,"55,000.00 €"
50,50,-22.0,90.35,"55,000.00 €"
50,50,-22.1,90.33,"50,000.00 €"
50,50,-22.2,90.32,"50,000.00 €"
50,50,-22.3,90.31,"50,000.00 €"
50,50,-22.4,90.29,"50,000.00 €"
50,50,-22.5,90.28,"50,000.00 €"
50,50,-22.6,90.26,"50,000.00 €"
50,50,-22.7,90.25,"50,000.00 €"
50,50,-22.8,90.24,"50,000.00 €"
50,50,-22.9,90.22,"50,000.00 €"
50,50,-23.0,90.21,"50,000.00 €"
50,50,-23.1,90.20,"50,000.00 €"
50,50,-23.2,90.19,"50,000.00 €"
50,50,-23.3,90.17,"50,000.00 €"
50,50,-23.4,90.16,"50,000.00 €"
50,50,-23.5,90.15,"50,000.00 €"
50,50,-23.6,90.14,"50,000.00 €"
50,50,-23.7,90.12,"50,000.00 €"
50,50,-23.8,90.11,"50,000.00 €"
50,50,-23.9,90.10,"50,000.00 €"
50,50,-24.0,90.09,"50,000.00 €"
50,50,-24.1,90.08,"50,000.00 €"
50,50,-24.2,90.06,"50,000.00 €"
50,50,-24.3,90.05,"50,000.00 €"
50,50,-24.4,90.04,"50,000.00 €"
50,50,-24.5,90.03,"50,000.00 €"
50,50,-24.6,90.02,"50,000.00 €"
50,50,-24.7,90.01,"50,000.00 €"
50,50,-24.8,90.00,"50,000.00 €"
50,50,-24.9,89.99,"50,000.00 €"
50,50,-25.0,89.98,"50,000.00 €"
50,50,-25.1,89.97,"50,000.00 €"
50,50,-25.2,89.96,"50,000.00 €"
50,50,-25.3,89.95,"50,000.00 €"
50,50,-25.4,89.94,"50,000.00 €"
50,50,-25.5,89.93,"50,000.00 €"
50,50,-25.6,89.92,"50,000.00 €"
50,50,-25.7,89.91,"50,000.00 €"
50,50,-25.8,89.90,"50,000.00 €"
50,50,-25.9,89.89,"50,000.00 €"
50,50,-26.0,89.88,"50,000.00 €"
50,50,-26.1,89.87,"50,000.00 €"
50,50,-26.2,89.86,"50,000.00 €"
50,50,-26.3,89.85,"50,000.00 €"
50,50,-26.4,89.84,"50,000.00 €"
50,50,-26.5,89.83,"50,000.00 €"
50,50,-26.6,89.82,"50,000.00 €"
50,50,-26.7,89.82,"50,000.00 €"
50,50,-26.8,89.81,"50,000.00 €"
50,50,-26.9,89.80,"50,000.00 €"
50,50,-27.0,89.79,"50,000.00 €"
50,50,-27.1,89.78,"50,000.00 €"
50,50,-27.2,89.77,"50,000.00 €"
50,50,-27.3,89.77,"50,000.00 €"
50,50,-27.4,89.76,"50,000.00 €"
50,50,-27.5,89.75,"50,000.00 €"
50,50,-27.6,89.74,"50,000.00 €"
50,50,-27.7,89.73,"50,000.00 €"
50,50,-27.8,89.73,"50,000.00 €"
50,50,-27.9,89.72,"50,000.00 €"
50,50,-28.0,89.71,"50,000.00 €"
50,50,-28.1,89.70,"50,000.00 €"
50,50,-28.2,89.70,"50,000.00 €"
50,50,-28.3,89.69,"50,000.00 €"
50,50,-28.4,89.68,"50,000.00 €"
50,50,-28.5,89.67,"50,000.00 €"
50,50,-28.6,89.67,"50,000.00 €"
50,50,-28.7,89.66,"50,000.00 €"
50,50,-28.8,89.65,"45,000.00 €"
50,50,-28.9,89.65,"45,000.00 €"
50,50,-29.0,89.64,"45,000.00 €"
50,50,-29.1,89.63,"45,000.00 €"
50,50,-29.2,89.63,"45,000.00 €"
50,50,-29.3,89.62,"45,000.00 €"
50,50,-29.4,89.61,"45,000.00 €"
50,50,-29.5,89.61,"45,000.00 €"
50,50,-29.6,89.60,"45,000.00 €"
50,50,-29.7,89.59,"45,000.00 €"
50,50,-29.8,89.59,"45,000.00 €"
50,50,-29.9,89.58,"45,000.00 €"
50,50,-30.0,89.57,"45,000.00 €"
50,50,-30.1,89.57,"45,000.00 €"
50,50,-30.2,89.56,"45,000.00 €"
50,50,-30.3,89.56,"45,000.00 €"
50,50,-30.4,89.55,"45,000.00 €"
50,50,-30.5,89.54,"45,000.00 €"
50,50,-30.6,89.54,"45,000.00 €"
50,50,-30.7,89.53,"45,000.00 €"
50,50,-30.8,89.53,"45,000.00 €"
50,50,-30.9,89.52,"45,000.00 €"
50,50,-31.0,89.51,"45,000.00 €"
50,50,-31.1,89.51,"45,000.00 €"
50,50,-31.2,89.50,"45,000.00 €"
50,50,-31.3,89.50,"45,000.00 €"
50,50,-31.4,89.49,"45,000.00 €"
50,50,-31.5,89.49,"45,000.00 €"
50,50,-31.6,89.48,"45,000.00 €"
50,50,-31.7,89.48,"45,000.00 €"
50,50,-31.8,89.47,"45,000.00 €"
50,50,-31.9,89.47,"45,000.00 €"
50,50,-32.0,89.46,"45,000.00 €"
50,50,-32.1,89.46,"45,000.00 €"
50,50,-32.2,89.45,"45,000.00 €"
50,50,-32.3,89.44,"45,000.00 €"
50,50,-32.4,89.44,"45,000.00 €"
50,50,-32.5,89.43,"45,000.00 €"
50,50,-32.6,89.43,"45,000.00 €"
50,50,-32.7,89.42,"45,000.00 €"
